;Município;Solteiro;Casado;Viúvo;Separado;Divorciado;Não Inf.;Total
0;ABDON BATISTA;1.046;1.203;83.0;52.0;39.0;0;2.423
1;ABELARDO LUZ;7.009;4.574;418.0;267.0;351.0;0;12.619
2;AGROLÂNDIA;4.250;3.096;161.0;121.0;252.0;0;7.880
3;AGRONÔMICA;1.806;2.130;150.0;58.0;198.0;0;4.342
4;ÁGUA DOCE;2.988;2.059;141.0;84.0;95.0;0;5.367
5;ÁGUAS DE CHAPECÓ;2.230;2.002;209.0;107.0;167.0;0;4.715
6;ÁGUAS FRIAS;1.099;1.180;92.0;28.0;75.0;0;2.474
7;ÁGUAS MORNAS;2.399;2.918;183.0;103.0;166.0;0;5.769
8;ALFREDO WAGNER;2.904;3.554;331.0;135.0;247.0;0;7.171
9;ALTO BELA VISTA;730;973;107.0;51.0;39.0;0;1.900
10;ANCHIETA;1.946;2.525;208.0;126.0;97.0;0;4.902
11;ANGELINA;1.915;2.641;151.0;68.0;96.0;0;4.871
12;ANITA GARIBALDI;3.441;3.332;314.0;141.0;177.0;2;7.407
13;ANITÁPOLIS;1.357;1.305;159.0;85.0;101.0;0;3.007
14;ANTÔNIO CARLOS;3.226;4.192;204.0;94.0;210.0;0;7.926
15;APIÚNA;4.678;2.884;160.0;131.0;194.0;0;8.047
16;ARABUTÃ;1.317;2.178;146.0;89.0;87.0;0;3.817
17;ARAQUARI;11.365;9.189;683.0;338.0;1.045;0;22.620
18;ARARANGUÁ;27.276;18.715;1.4969999999999999;736.0;2.3569999999999998;0;50.581
19;ARMAZÉM;3.321;2.712;132.0;80.0;173.0;0;6.418
20;ARROIO TRINTA;1.282;1.630;143.0;47.0;107.0;0;3.209
21;ARVOREDO;1.149;1.129;80.0;37.0;52.0;0;2.447
22;ASCURRA;3.401;2.244;167.0;133.0;207.0;0;6.152
23;ATALANTA;1.092;1.471;144.0;53.0;139.0;0;2.899
24;AURORA;1.772;2.881;170.0;83.0;155.0;0;5.061
25;BALNEÁRIO ARROIO DO SILVA;5.130;4.030;569.0;273.0;878.0;0;10.880
26;BALNEÁRIO BARRA DO SUL;4.038;4.885;545.0;236.0;699.0;0;10.403
27;BALNEÁRIO CAMBORIÚ;45.908;32.261;2.9730000000000003;1.939;7.3660000000000005;0;90.447
28;BALNEÁRIO GAIVOTA;4.679;3.555;313.0;273.0;588.0;0;9.408
29;BALNEÁRIO PIÇARRAS;7.569;6.411;579.0;320.0;1.21;0;16.089
30;BALNEÁRIO RINCÃO;5.230;5.105;639.0;218.0;988.0;0;12.180
31;BANDEIRANTE;1.262;1.390;108.0;72.0;59.0;0;2.891
32;BARRA BONITA;777;951;71.0;33.0;33.0;0;1.865
33;BARRA VELHA;11.789;9.734;968.0;486.0;1.7830000000000001;0;24.760
34;BELA VISTA DO TOLDO;2.602;2.264;101.0;46.0;66.0;0;5.079
35;BELMONTE;1.116;1.106;87.0;57.0;48.0;0;2.414
36;BENEDITO NOVO;3.708;3.876;232.0;140.0;245.0;0;8.201
37;BIGUAÇU;26.869;17.806;1.578;975.0;2.492;0;49.720
38;BLUMENAU;120.950;99.742;7.34;5.105;13.877;0;247.014
39;BOCAINA DO SUL;1.663;1.182;146.0;32.0;104.0;0;3.127
40;BOM JARDIM DA SERRA;2.272;1.151;63.0;47.0;60.0;0;3.593
41;BOM JESUS;1.396;861;78.0;49.0;99.0;0;2.483
42;BOM JESUS DO OESTE;688;1.049;82.0;25.0;31.0;0;1.875
43;BOM RETIRO;3.024;2.545;289.0;141.0;272.0;0;6.271
44;BOMBINHAS;8.512;5.233;281.0;216.0;688.0;0;14.930
45;BOTUVERÁ;1.427;2.380;161.0;90.0;130.0;0;4.188
46;BRAÇO DO NORTE;12.854;9.425;618.0;440.0;749.0;0;24.086
47;BRAÇO DO TROMBUDO;1.279;1.375;125.0;65.0;114.0;0;2.958
48;BRUNÓPOLIS;1.271;1.233;126.0;41.0;82.0;0;2.753
49;BRUSQUE;37.623;40.726;2.903;1.754;4.6339999999999995;0;87.640
50;CAÇADOR;31.205;17.252;1.485;978.0;1.589;1;52.510
51;CAIBI;2.455;2.087;138.0;82.0;103.0;0;4.865
52;CALMON;1.861;1.053;115.0;46.0;83.0;0;3.158
53;CAMBORIÚ;26.732;19.590;1.383;766.0;2.8510000000000004;0;51.322
54;CAMPO ALEGRE;4.707;4.252;300.0;118.0;211.0;0;9.588
55;CAMPO BELO DO SUL;3.248;2.244;216.0;102.0;103.0;0;5.913
56;CAMPO ERÊ;3.921;2.501;311.0;141.0;222.0;0;7.096
57;CAMPOS NOVOS;13.581;9.945;867.0;646.0;904.0;0;25.943
58;CANELINHA;5.231;3.166;268.0;131.0;255.0;0;9.051
59;CANOINHAS;21.929;16.727;1.383;742.0;1.104;0;41.885
60;CAPÃO ALTO;1.382;1.243;121.0;59.0;92.0;0;2.897
61;CAPINZAL;8.611;6.370;727.0;555.0;592.0;0;16.855
62;CAPIVARI DE BAIXO;9.176;6.559;544.0;234.0;818.0;0;17.331
63;CATANDUVAS;4.209;3.132;325.0;201.0;287.0;0;8.154
64;CAXAMBU DO SUL;2.147;1.883;203.0;60.0;109.0;0;4.402
65;CELSO RAMOS;1.068;1.247;100.0;47.0;56.0;0;2.518
66;CERRO NEGRO;1.674;1.301;147.0;53.0;44.0;0;3.219
67;CHAPADÃO DO LAGEADO;983;1.324;87.0;39.0;82.0;0;2.515
68;CHAPECÓ;88.421;51.435;3.39;3.053;4.921;0;151.220
69;COCAL DO SUL;6.198;6.498;385.0;158.0;567.0;0;13.806
70;CONCÓRDIA;29.469;24.215;1.6380000000000001;1.3940000000000001;1.473;0;58.189
71;CORDILHEIRA ALTA;1.811;1.842;131.0;66.0;104.0;0;3.954
72;CORONEL FREITAS;4.058;3.654;161.0;106.0;133.0;0;8.112
73;CORONEL MARTINS;897;923;84.0;32.0;49.0;0;1.985
74;CORREIA PINTO;6.992;4.037;294.0;116.0;274.0;0;11.713
75;CORUPÁ;5.084;4.775;421.0;270.0;482.0;0;11.032
76;CRICIÚMA;79.188;56.282;3.411;1.459;6.03;1;146.371
77;CUNHA PORÃ;3.426;4.066;370.0;229.0;259.0;0;8.350
78;CUNHATAÍ;705;916;72.0;15.0;38.0;0;1.746
79;CURITIBANOS;18.232;10.039;969.0;608.0;995.0;0;30.843
80;DESCANSO;3.103;3.427;195.0;100.0;115.0;0;6.940
81;DIONÍSIO CERQUEIRA;6.787;4.028;305.0;183.0;255.0;0;11.558
82;DONA EMMA;1.522;1.379;110.0;68.0;86.0;0;3.165
83;DOUTOR PEDRINHO;1.312;1.404;102.0;61.0;85.0;0;2.964
84;ENTRE RIOS;1.907;887;83.0;39.0;58.0;0;2.974
85;ERMO;900;987;78.0;29.0;131.0;0;2.125
86;ERVAL VELHO;1.657;1.902;186.0;87.0;148.0;0;3.980
87;FAXINAL DOS GUEDES;4.287;3.663;315.0;183.0;277.0;0;8.725
88;FLOR DO SERTÃO;736;804;77.0;42.0;25.0;0;1.684
89;FLORIANÓPOLIS;192.641;124.804;9.399;7.593;22.612;0;357.049
90;FORMOSA DO SUL;1.050;1.153;109.0;38.0;29.0;0;2.379
91;FORQUILHINHA;11.289;7.331;310.0;176.0;588.0;0;19.694
92;FRAIBURGO;14.050;10.811;1.137;621.0;1.131;0;27.750
93;FREI ROGÉRIO;951;1.149;65.0;27.0;58.0;0;2.250
94;GALVÃO;1.258;1.160;121.0;64.0;71.0;0;2.674
95;GAROPABA;11.268;6.423;311.0;305.0;716.0;0;19.023
96;GARUVA;5.543;4.273;358.0;137.0;481.0;0;10.792
97;GASPAR;24.022;19.204;1.294;951.0;1.9669999999999999;0;47.438
