;Município;< 16 Anos;16 Anos;17 Anos;18 a 24 Anos;25 a 34 Anos;35 a 44 Anos;45 a 59 Anos;60 a 69 Anos;> 69 Anos;Total
0;ABDON BATISTA;0;5.0;24.0;284.0;450;398;652;344.0;266.0;2.423
1;ABELARDO LUZ;0;30.0;89.0;1.909;2.497;2.368;3.151;1.4080000000000001;1.167;12.619
2;AGROLÂNDIA;1;25.0;26.0;939.0;1.664;1.630;2.022;835.0;738.0;7.880
3;AGRONÔMICA;0;11.0;41.0;522.0;948;802;1.159;486.0;373.0;4.342
4;ÁGUA DOCE;4;17.0;35.0;683.0;1.015;935;1.368;650.0;660.0;5.367
5;ÁGUAS DE CHAPECÓ;0;15.0;24.0;541.0;915;826;1.183;685.0;526.0;4.715
6;ÁGUAS FRIAS;1;8.0;34.0;319.0;485;428;650;320.0;229.0;2.474
7;ÁGUAS MORNAS;0;3.0;24.0;638.0;1.192;1.029;1.682;711.0;490.0;5.769
8;ALFREDO WAGNER;1;10.0;42.0;881.0;1.498;1.270;2.033;913.0;523.0;7.171
9;ALTO BELA VISTA;0;7.0;14.0;184.0;325;283;497;311.0;279.0;1.900
10;ANCHIETA;5;22.0;52.0;605.0;910;814;1.330;738.0;426.0;4.902
11;ANGELINA;2;7.0;30.0;536.0;962;887;1.313;645.0;489.0;4.871
12;ANITA GARIBALDI;1;25.0;58.0;975.0;1.380;1.256;1.855;926.0;931.0;7.407
13;ANITÁPOLIS;0;10.0;16.0;349.0;526;516;846;425.0;319.0;3.007
14;ANTÔNIO CARLOS;4;32.0;56.0;997.0;1.606;1.623;2.071;859.0;678.0;7.926
15;APIÚNA;0;17.0;56.0;979.0;1.633;1.597;2.067;892.0;806.0;8.047
16;ARABUTÃ;0;6.0;33.0;370.0;710;709;930;514.0;545.0;3.817
17;ARAQUARI;1;69.0;251.0;3.252;4.984;5.077;5.446;2.138;1.402;22.620
18;ARARANGUÁ;8;108.0;259.0;6.256;10.178;10.127;12.820;6.045;4.78;50.581
19;ARMAZÉM;1;15.0;46.0;699.0;1.370;1.203;1.636;758.0;690.0;6.418
20;ARROIO TRINTA;0;10.0;24.0;372.0;558;557;823;479.0;386.0;3.209
