;Município;Analfab.;Lê e Escreve;1º Grau Incomp.;1º Grau Comp.;2º Grau Incomp.;2º Grau Comp.;Superior Incomp.;Superior Comp.;Não Inf.;Total
0;ABDON BATISTA;76.0;232.0;885;223.0;295.0;445;84.0;183.0;0;2.423
1;ABELARDO LUZ;775.0;1.111;3.840;1.036;1.8;2.294;627.0;1.136;0;12.619
2;AGROLÂNDIA;128.0;1.011;2.223;882.0;1.493;1.499;256.0;388.0;0;7.880
3;AGRONÔMICA;49.0;105.0;1.665;405.0;484.0;980;216.0;438.0;0;4.342
4;ÁGUA DOCE;195.0;298.0;2.046;465.0;980.0;785;200.0;398.0;0;5.367
5;ÁGUAS DE CHAPECÓ;300.0;645.0;1.454;447.0;437.0;878;214.0;340.0;0;4.715
6;ÁGUAS FRIAS;44.0;156.0;882;228.0;221.0;529;126.0;288.0;0;2.474
7;ÁGUAS MORNAS;50.0;157.0;2.406;649.0;592.0;1.290;263.0;362.0;0;5.769
8;ALFREDO WAGNER;333.0;837.0;2.680;740.0;628.0;1.162;327.0;464.0;0;7.171
9;ALTO BELA VISTA;16.0;93.0;722;174.0;162.0;440;80.0;213.0;0;1.900
10;ANCHIETA;90.0;226.0;1.882;408.0;512.0;1.095;248.0;441.0;0;4.902
11;ANGELINA;118.0;514.0;1.847;520.0;524.0;856;158.0;334.0;0;4.871
12;ANITA GARIBALDI;417.0;553.0;2.534;602.0;999.0;1.443;279.0;580.0;0;7.407
13;ANITÁPOLIS;61.0;108.0;1.396;222.0;388.0;515;115.0;202.0;0;3.007
14;ANTÔNIO CARLOS;36.0;166.0;2.637;885.0;1.031;1.948;482.0;741.0;0;7.926
15;APIÚNA;164.0;894.0;3.090;811.0;1.361;1.222;233.0;272.0;0;8.047
16;ARABUTÃ;54.0;528.0;1.159;323.0;331.0;900;140.0;381.0;1;3.817
17;ARAQUARI;507.0;910.0;6.038;2.9219999999999997;3.488;6.376;798.0;1.581;0;22.620
18;ARARANGUÁ;924.0;2.46;13.117;5.001;8.357000000000001;11.849;3.088;5.785;0;50.581
19;ARMAZÉM;73.0;390.0;2.256;681.0;1.244;1.132;259.0;383.0;0;6.418
20;ARROIO TRINTA;70.0;134.0;1.167;270.0;279.0;712;181.0;396.0;0;3.209
21;ARVOREDO;138.0;171.0;703;275.0;288.0;524;117.0;231.0;0;2.447
22;ASCURRA;120.0;241.0;2.477;661.0;1.042;1.113;227.0;271.0;0;6.152
23;ATALANTA;53.0;84.0;1.019;323.0;287.0;702;138.0;293.0;0;2.899
24;AURORA;26.0;79.0;2.080;497.0;574.0;1.125;192.0;488.0;0;5.061
25;BALNEÁRIO ARROIO DO SILVA;193.0;300.0;3.178;1.173;1.4169999999999998;2.821;663.0;1.135;0;10.880
26;BALNEÁRIO BARRA DO SUL;164.0;475.0;2.668;1.5490000000000002;1.2819999999999998;2.765;441.0;1.0590000000000002;0;10.403
27;BALNEÁRIO CAMBORIÚ;360.0;765.0;10.826;6.657;7.966;26.088;11.815999999999999;25.969;0;90.447
28;BALNEÁRIO GAIVOTA;264.0;411.0;3.220;1.018;1.624;1.858;395.0;618.0;0;9.408
