;Município;Masculino;Feminino;Não Informado;Total
0;ABDON BATISTA;1.249;1.174;0;2.423
1;ABELARDO LUZ;6.270;6.349;0;12.619
2;AGROLÂNDIA;3.900;3.980;0;7.880
3;AGRONÔMICA;2.191;2.151;0;4.342
4;ÁGUA DOCE;2.775;2.592;0;5.367
5;ÁGUAS DE CHAPECÓ;2.373;2.342;0;4.715
6;ÁGUAS FRIAS;1.274;1.200;0;2.474
7;ÁGUAS MORNAS;2.947;2.822;0;5.769
8;ALFREDO WAGNER;3.661;3.510;0;7.171
9;ALTO BELA VISTA;972;928;0;1.900
10;ANCHIETA;2.468;2.434;0;4.902
11;ANGELINA;2.588;2.283;0;4.871
12;ANITA GARIBALDI;3.705;3.702;0;7.407
13;ANITÁPOLIS;1.586;1.421;0;3.007
14;ANTÔNIO CARLOS;3.942;3.984;0;7.926
15;APIÚNA;4.067;3.980;0;8.047
16;ARABUTÃ;1.987;1.830;0;3.817
17;ARAQUARI;11.326;11.294;0;22.620
18;ARARANGUÁ;24.119;26.462;0;50.581
19;ARMAZÉM;3.192;3.226;0;6.418
20;ARROIO TRINTA;1.594;1.615;0;3.209
21;ARVOREDO;1.299;1.148;0;2.447
22;ASCURRA;2.979;3.173;0;6.152
23;ATALANTA;1.437;1.462;0;2.899
24;AURORA;2.571;2.490;0;5.061
25;BALNEÁRIO ARROIO DO SILVA;5.191;5.689;0;10.880
26;BALNEÁRIO BARRA DO SUL;5.163;5.240;0;10.403
27;BALNEÁRIO CAMBORIÚ;41.302;49.145;0;90.447
28;BALNEÁRIO GAIVOTA;4.514;4.894;0;9.408
29;BALNEÁRIO PIÇARRAS;7.739;8.350;0;16.089
30;BALNEÁRIO RINCÃO;5.947;6.233;0;12.180
31;BANDEIRANTE;1.496;1.395;0;2.891
32;BARRA BONITA;998;867;0;1.865
33;BARRA VELHA;11.999;12.761;0;24.760
34;BELA VISTA DO TOLDO;2.655;2.424;0;5.079
35;BELMONTE;1.217;1.197;0;2.414
36;BENEDITO NOVO;4.136;4.065;0;8.201
37;BIGUAÇU;23.764;25.956;0;49.720
38;BLUMENAU;117.795;129.219;0;247.014
39;BOCAINA DO SUL;1.610;1.517;0;3.127
40;BOM JARDIM DA SERRA;1.801;1.792;0;3.593
41;BOM JESUS;1.218;1.265;0;2.483
42;BOM JESUS DO OESTE;958;917;0;1.875
43;BOM RETIRO;3.134;3.137;0;6.271
44;BOMBINHAS;7.358;7.572;0;14.930
45;BOTUVERÁ;2.147;2.041;0;4.188
46;BRAÇO DO NORTE;11.605;12.481;0;24.086
47;BRAÇO DO TROMBUDO;1.486;1.472;0;2.958
48;BRUNÓPOLIS;1.410;1.343;0;2.753
49;BRUSQUE;41.757;45.883;0;87.640
50;CAÇADOR;25.376;27.134;0;52.510
51;CAIBI;2.367;2.498;0;4.865
52;CALMON;1.622;1.536;0;3.158
53;CAMBORIÚ;24.411;26.911;0;51.322
54;CAMPO ALEGRE;4.882;4.706;0;9.588
55;CAMPO BELO DO SUL;3.062;2.851;0;5.913
56;CAMPO ERÊ;3.456;3.640;0;7.096
57;CAMPOS NOVOS;12.525;13.418;0;25.943
58;CANELINHA;4.464;4.587;0;9.051
59;CANOINHAS;20.462;21.423;0;41.885
60;CAPÃO ALTO;1.561;1.336;0;2.897
61;CAPINZAL;8.240;8.615;0;16.855
62;CAPIVARI DE BAIXO;8.089;9.242;0;17.331
63;CATANDUVAS;3.950;4.204;0;8.154
64;CAXAMBU DO SUL;2.234;2.168;0;4.402
65;CELSO RAMOS;1.285;1.233;0;2.518
66;CERRO NEGRO;1.690;1.529;0;3.219
67;CHAPADÃO DO LAGEADO;1.332;1.183;0;2.515
68;CHAPECÓ;72.142;79.078;0;151.220
69;COCAL DO SUL;6.759;7.047;0;13.806
70;CONCÓRDIA;28.233;29.956;0;58.189
71;CORDILHEIRA ALTA;2.040;1.914;0;3.954
72;CORONEL FREITAS;4.074;4.038;0;8.112
73;CORONEL MARTINS;1.027;958;0;1.985
74;CORREIA PINTO;5.815;5.898;0;11.713
75;CORUPÁ;5.487;5.545;0;11.032
76;CRICIÚMA;69.029;77.342;0;146.371
77;CUNHA PORÃ;4.143;4.207;0;8.350
78;CUNHATAÍ;931;815;0;1.746
79;CURITIBANOS;14.845;15.998;0;30.843
80;DESCANSO;3.482;3.458;0;6.940
81;DIONÍSIO CERQUEIRA;5.629;5.929;0;11.558
82;DONA EMMA;1.600;1.565;0;3.165
83;DOUTOR PEDRINHO;1.469;1.495;0;2.964
84;ENTRE RIOS;1.512;1.462;0;2.974
85;ERMO;1.095;1.030;0;2.125
86;ERVAL VELHO;1.984;1.996;0;3.980
87;FAXINAL DOS GUEDES;4.385;4.340;0;8.725
88;FLOR DO SERTÃO;880;804;0;1.684
89;FLORIANÓPOLIS;166.429;190.620;0;357.049
90;FORMOSA DO SUL;1.197;1.182;0;2.379
91;FORQUILHINHA;9.779;9.915;0;19.694
92;FRAIBURGO;13.583;14.167;0;27.750
93;FREI ROGÉRIO;1.188;1.062;0;2.250
94;GALVÃO;1.338;1.336;0;2.674
95;GAROPABA;9.277;9.746;0;19.023
96;GARUVA;5.384;5.408;0;10.792
97;GASPAR;22.856;24.582;0;47.438
98;GOVERNADOR CELSO RAMOS;7.258;6.841;0;14.099
99;GRÃO-PARÁ;2.874;2.762;0;5.636
100;GRAVATAL;4.313;4.513;0;8.826
101;GUABIRUBA;7.528;7.599;0;15.127
102;GUARACIABA;4.508;4.423;0;8.931
103;GUARAMIRIM;15.214;15.376;0;30.590
104;GUARUJÁ DO SUL;1.938;2.100;0;4.038
105;GUATAMBÚ;3.001;2.648;0;5.649
106;HERVAL D'OESTE;8.004;8.541;0;16.545
107;IBIAM;887;885;0;1.772
108;IBICARÉ;1.545;1.445;0;2.990
109;IBIRAMA;7.292;7.601;0;14.893
110;IÇARA;19.736;20.828;0;40.564
111;ILHOTA;5.461;5.465;0;10.926
112;IMARUÍ;4.603;4.554;0;9.157
113;IMBITUBA;17.855;19.216;0;37.071
114;IMBUIA;2.403;2.354;0;4.757
115;INDAIAL;22.418;23.646;0;46.064
116;IOMERÊ;1.375;1.419;0;2.794
117;IPIRA;1.872;1.953;0;3.825
118;IPORÃ DO OESTE;3.565;3.565;0;7.130
119;IPUAÇU;2.743;2.686;0;5.429
120;IPUMIRIM;3.008;2.977;0;5.985
121;IRACEMINHA;1.865;1.792;0;3.657
122;IRANI;3.615;3.694;0;7.309
123;IRATI;1.064;981;0;2.045
124;IRINEÓPOLIS;4.035;3.904;0;7.939
125;ITÁ;3.076;2.966;0;6.042
126;ITAIÓPOLIS;8.393;8.150;0;16.543
127;ITAJAÍ;70.367;77.417;0;147.784
128;ITAPEMA;20.991;23.273;0;44.264
129;ITAPIRANGA;6.041;6.102;0;12.143
130;ITAPOÁ;7.015;7.466;0;14.481
131;ITUPORANGA;8.975;9.417;0;18.392
132;JABORÁ;1.865;1.911;0;3.776
133;JACINTO MACHADO;4.545;4.516;0;9.061
134;JAGUARUNA;7.079;7.460;0;14.539
135;JARAGUÁ DO SUL;55.393;58.830;0;114.223
136;JARDINÓPOLIS;805;793;0;1.598
137;JOAÇABA;10.494;11.660;0;22.154
138;JOINVILLE;194.023;209.503;0;403.526
139;JOSÉ BOITEUX;2.133;2.060;0;4.193
140;JUPIÁ;1.021;1.020;0;2.041
141;LACERDÓPOLIS;993;1.008;0;2.001
142;LAGES;57.810;65.191;0;123.001
143;LAGUNA;16.381;18.169;0;34.550
144;LAJEADO GRANDE;696;701;0;1.397
145;LAURENTINO;2.960;2.968;0;5.928
146;LAURO MÜLLER;6.054;6.169;0;12.223
147;LEBON RÉGIS;4.482;4.461;0;8.943
148;LEOBERTO LEAL;1.624;1.480;0;3.104
149;LINDÓIA DO SUL;1.832;1.803;0;3.635
150;LONTRAS;4.354;4.586;0;8.940
151;LUIZ ALVES;4.905;4.755;0;9.660
152;LUZERNA;2.459;2.543;0;5.002
153;MACIEIRA;932;839;0;1.771
154;MAFRA;19.794;20.461;0;40.255
155;MAJOR GERCINO;1.595;1.463;0;3.058
156;MAJOR VIEIRA;2.923;2.835;0;5.758
157;MARACAJÁ;3.099;3.110;0;6.209
158;MARAVILHA;9.371;10.293;0;19.664
159;MAREMA;1.033;974;0;2.007
160;MASSARANDUBA;6.373;6.433;0;12.806
161;MATOS COSTA;1.273;1.181;0;2.454
162;MELEIRO;2.968;2.997;0;5.965
163;MIRIM DOCE;1.190;1.137;0;2.327
164;MODELO;1.685;1.644;0;3.329
165;MONDAÍ;3.809;3.851;0;7.660
166;MONTE CARLO;3.645;3.528;0;7.173
167;MONTE CASTELO;3.697;3.514;0;7.211
168;MORRO DA FUMAÇA;6.419;6.764;0;13.183
169;MORRO GRANDE;1.431;1.336;0;2.767
170;NAVEGANTES;26.799;29.202;0;56.001
171;NOVA ERECHIM;1.923;1.887;0;3.810
172;NOVA ITABERABA;2.126;1.846;0;3.972
173;NOVA TRENTO;5.150;5.282;0;10.432
174;NOVA VENEZA;5.921;5.993;0;11.914
175;NOVO HORIZONTE;1.255;1.152;0;2.407
176;ORLEANS;9.186;9.638;0;18.824
177;OTACÍLIO COSTA;6.591;6.863;0;13.454
178;OURO;2.815;2.985;0;5.800
179;OURO VERDE;1.037;948;0;1.985
180;PAIAL;1.007;901;0;1.908
181;PAINEL;1.352;1.149;0;2.501
182;PALHOÇA;60.716;65.869;0;126.585
183;PALMA SOLA;2.897;2.863;0;5.760
184;PALMEIRA;1.522;1.359;0;2.881
185;PALMITOS;5.939;6.131;0;12.070
186;PAPANDUVA;6.987;6.798;0;13.785
187;PARAÍSO;1.909;1.800;0;3.709
188;PASSO DE TORRES;3.109;3.239;1;6.349
189;PASSOS MAIA;1.656;1.557;0;3.213
190;PAULO LOPES;3.113;3.144;0;6.257
191;PEDRAS GRANDES;2.098;2.090;0;4.188
192;PENHA;9.403;10.493;0;19.896
193;PERITIBA;1.379;1.357;0;2.736
194;PESCARIA BRAVA;3.606;3.759;0;7.365
195;PETROLÂNDIA;2.666;2.546;0;5.212
196;PINHALZINHO;6.943;7.424;0;14.367
197;PINHEIRO PRETO;1.350;1.354;0;2.704
198;PIRATUBA;2.529;2.589;0;5.118
199;PLANALTO ALEGRE;1.448;1.319;0;2.767
200;POMERODE;12.087;12.470;0;24.557
201;PONTE ALTA;2.050;2.082;0;4.132
202;PONTE ALTA DO NORTE;1.304;1.312;0;2.616
203;PONTE SERRADA;3.832;3.974;0;7.806
204;PORTO BELO;7.009;7.743;0;14.752
205;PORTO UNIÃO;12.263;13.247;0;25.510
206;POUSO REDONDO;5.672;5.763;0;11.435
207;PRAIA GRANDE;3.061;3.049;0;6.110
208;PRESIDENTE CASTELLO BRANCO;846;786;0;1.632
209;PRESIDENTE GETÚLIO;6.417;6.660;0;13.077
210;PRESIDENTE NEREU;1.153;1.093;0;2.246
211;PRINCESA;1.283;1.246;0;2.529
212;QUILOMBO;3.987;4.037;0;8.024
213;RANCHO QUEIMADO;1.569;1.503;0;3.072
214;RIO DAS ANTAS;2.738;2.548;0;5.286
215;RIO DO CAMPO;2.653;2.531;0;5.184
216;RIO DO OESTE;3.002;2.938;0;5.940
217;RIO DO SUL;23.646;26.183;0;49.829
218;RIO DOS CEDROS;4.398;4.264;0;8.662
219;RIO FORTUNA;2.235;2.092;0;4.327
220;RIO NEGRINHO;15.594;15.882;0;31.476
221;RIO RUFINO;1.185;1.105;0;2.290
222;RIQUEZA;2.079;1.997;0;4.076
223;RODEIO;4.774;5.048;0;9.822
224;ROMELÂNDIA;1.936;1.869;0;3.805
225;SALETE;3.032;2.972;0;6.004
226;SALTINHO;1.684;1.570;0;3.254
227;SALTO VELOSO;1.737;1.738;0;3.475
228;SANGÃO;4.066;4.189;0;8.255
229;SANTA CECÍLIA;6.429;6.510;0;12.939
230;SANTA HELENA;1.152;1.123;0;2.275
231;SANTA ROSA DE LIMA;1.039;955;0;1.994
232;SANTA ROSA DO SUL;3.623;3.565;0;7.188
233;SANTA TEREZINHA;3.468;2.996;0;6.464
234;SANTA TEREZINHA DO PROGRESSO;1.271;1.137;0;2.408
